"station_english_name";"station_latitude";"station_longitude"
"Tripureshwar";"27.694003264668694";"85.31306438148022"
"B N Biz ";"27.72107126865781";"85.32350923866034"
"Nepal Bangladesh Bank";"27.708033218853345";"85.31734049320221"
"Krishna Pauroti Bhandar";"27.710305721770617";"85.32258119434117"
"Kamalpokhari  Kathmandu";"27.710049562954918";"85.32547362148762"
"Rato Pul";"27.708091397418162";"85.33685993403196"
"Gaushala Chowk";"27.707864322741962";"85.34337066113949"
"Hyatt Regency Hotel";"27.719335009878698";"85.35404182970524"
"Baral Oil Store";"27.721419110682074";"85.3700841218233"
"Lama Petrol Pump";"27.72175418953492";"85.37657741457224"
"Test";"27.695445735076934";"85.32097991555929"
"Thamel Pipalbot";"27.718183127902492";"85.31208537518978"
"Golkopakha";"27.71884618126574";"85.31240724027157"
"Kapurdhara";"27.724112474458106";"85.31373661011457"
"Sarkaridhara";"27.72635466759687";"85.31419929116964"
"Tarkari Bazar Chok";"27.733270897370762";"85.31457882374525"
"Gongabu Chok";"27.73496064023866";"85.31450070440769"
"Dhungadhara Greenland";"27.74536263529642";"85.32332684844731"
"Ganeshthan Greenland";"27.74750113200085";"85.32450266182421"
"Hariyali Basti";"27.749088880039825";"85.32484330236912"
"Grandy Hospital";"27.752731919145027";"85.32693710178138"
"Housing Chowk";"27.755167862800217";"85.32817896455526"
"Nist College";"27.718234177812313";"85.31414832919836"
"Trichandra Campus";"27.708553559710996";"85.31697370111944"
"Ghantaghr";"27.70753602832216";"85.3166551887989"
"Tourism Board";"27.70225171766751";"85.31711619347334"
"Biswobhasa Campus";"27.702041847894847";"85.31893372535706"
"Balmiki Campus";"27.701867005583665";"85.32031640410423"
"Kl Tower";"27.718731616380076";"85.34970603883266"
"Chuchhepati Chok";"27.71909638343428";"85.35037122666837"
"Chuchhepati Oil Route Point";"27.71942286226902";"85.35171769559385"
"Bouddha Tusal";"27.720129240402333";"85.35775300115345"
"Rangasala";"27.695312443179553";"85.31396962702276"
"Arab Bank Teku";"27.696223515285567";"85.30713502317667"
"Tripureshor";"27.6937417239507";"85.31413324177265"
"Baral Oil Store";"27.69831221363997";"85.30093442648649"
"Udyog Bivag Tripureshwor";"27.694281726174566";"85.31218126416206"
"Teku Hospital";"27.696223515285567";"85.30713502317667"
"Saidgate";"27.699585124472122";"85.31505525112152"
"Jorpati Sano Bazar";"27.72252643997579";"85.37300404161215"
"Besi Gaun";"27.726000015365965";"85.37672895938158"
"Naya Basti Kuleshwor";"27.692098248299807";"85.29860224574804"
"Venus Public School";"27.72935210061531";"85.37885662168264"
"Pipalbasti Attarkhel";"27.73161050807281";"85.37979606539011"
"Nmc College";"27.732689244659817";"85.38089912384747"
"Attarkhel";"27.733765596493626";"85.38176514208317"
"Shivapuri Chok Attarkhel";"27.73639693075081";"85.38387738168238"
"Bagwatithan Makalbari";"27.73761064082571";"85.38473468273878"
"Gokarna Mandir";"27.73916707809218";"85.38744505494833"
"Hanuman Chok";"27.740124372410474";"85.387565754354"
"Maiti Nepal";"27.74024455290697";"85.39046186953783"
"Kahribot Chautara Gokarna";"27.74028253585115";"85.39181102067234"
"Bhairabchour Chok";"27.740097072131043";"85.39635971188545"
"Uttarbhahini Chok";"27.740255532353146";"85.39788957685232"
"Namtel Buspark";"27.74140332348524";"85.40208723396063"
"Nayapati Bangala";"27.74367809820097";"85.40686156600712"
"Nayapati Sundarijal";"27.746406518910998";"85.41060257703067"
